cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [mL/s],AoP/Flow,Pao/PLV,rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.40,0.281532,0.408891,0.642,108.103,32.271,52.71,2.1,3.3,0.182705054,-0.177257221,-0.09165622,0.614002,0.784309,0.873027
0.41,0.288235,0.415594,0.628,108.316,26.114,53.695,2.0,4.1,0.181754073,-0.177068953,-0.092084538,0.614853,0.784747,0.874866
0.42,0.294938,0.422297,0.649,108.103,20.382,55.665,1.9,5.3,0.181547498,-0.176255906,-0.092718014,0.615431,0.785121,0.875444
0.43,0.301641,0.429,0.638,107.89,15.499,56.651,1.9,7.0,0.179769676,-0.175511192,-0.092849894,0.616211,0.786032,0.877061
0.44,0.308344,0.435703,0.642,107.25,11.465,57.636,1.9,9.4,0.176801566,-0.174680545,-0.090943035,0.616799,0.78712,0.878222
0.45,0.315047,0.442406,0.649,107.037,8.28,58.621,1.8,12.9,0.173311321,-0.173791908,-0.089413432,0.616644,0.788222,0.879863
0.46,0.32175,0.449109,0.628,107.037,6.369,58.621,1.8,16.8,0.167295479,-0.171990779,-0.088996545,0.617191,0.789514,0.881611
0.47,0.328453,0.455812,0.646,106.611,4.671,59.114,1.8,22.8,0.161900565,-0.169018008,-0.084119823,0.619176,0.790196,0.88549
0.48,0.335157,0.462516,0.635,106.184,3.609,59.606,1.8,29.4,0.153367932,-0.162951413,-0.078196772,0.622056,0.793433,0.889894
0.49,0.34186,0.469219,0.642,105.544,2.972,60.099,1.8,35.5,0.143810912,-0.152378334,-0.073710081,0.623845,0.797096,0.896119
0.50,0.348563,0.475922,0.646,105.331,2.972,60.591,1.7,35.4,0.131116121,-0.139710336,-0.066763072,0.627841,0.803354,0.904777
0.50,0.355266,0.482625,0.635,105.118,3.184,61.084,1.7,33.0,0.116370308,-0.127736629,-0.059978783,0.63293,0.81132,0.922392
0.51,0.361969,0.489328,0.653,104.478,2.972,60.591,1.7,35.2,0.101723896,-0.112057771,-0.050807819,0.641866,0.815629,0.931167
0.52,0.368672,0.496031,0.631,104.052,2.547,60.099,1.7,40.9,0.087062964,-0.098678287,-0.040054413,0.652755,0.818879,0.940221
0.53,0.375375,0.502734,0.638,103.412,2.76,60.591,1.7,37.5,0.071297944,-0.082842716,-0.032403056,0.659394,0.815329,0.945528
0.54,0.382079,0.509438,0.638,103.199,2.76,60.591,1.7,37.4,0.057982517,-0.068271116,-0.027135843,0.670796,0.811804,0.949594
0.55,0.388782,0.516141,0.628,102.773,3.397,60.099,1.7,30.3,0.046214713,-0.05699138,-0.023777693,0.671135,0.808796,0.950862
0.56,0.395485,0.522844,0.646,102.133,3.397,60.099,1.7,30.1,0.037651528,-0.047957345,-0.021201496,0.6729,0.802284,0.953219
