cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [mL/s],AoP/Flow,Pao/PLV,rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.84,0.589875,1.199859,0.592,50.32,12.314,7.389,6.810123156,4.086405717,0.029454632,-0.034657291,-0.011279511,0.60015,0.723069,0.908747
0.85,0.596579,1.206563,0.546,50.107,12.526,6.897,7.265042772,4.000239502,0.029440802,-0.034310292,-0.01172171,0.600463,0.723461,0.908841
0.86,0.603282,1.213266,0.481,49.894,12.739,7.389,6.752469888,3.916633959,0.02953961,-0.033638264,-0.011871212,0.600183,0.723606,0.909039
0.87,0.609985,1.219969,0.542,49.468,12.526,7.389,6.694816619,3.949225611,0.02888619,-0.033308833,-0.012166114,0.600295,0.723997,0.909347
0.88,0.616688,1.226672,0.617,49.254,12.739,7.389,6.665854649,3.866394536,0.0278408,-0.032928449,-0.012285718,0.599783,0.72424,0.909767
0.89,0.623391,1.233375,0.685,48.828,12.951,6.897,7.079599826,3.770210795,0.026406007,-0.031956158,-0.012359489,0.599137,0.72382,0.910614
0.90,0.630094,1.240078,0.696,48.828,13.163,6.897,7.079599826,3.709488718,0.025272723,-0.031099722,-0.011911467,0.599261,0.723688,0.91
0.90,0.636797,1.246781,0.685,48.401,13.588,6.404,7.557932542,3.562040035,0.023923194,-0.029127021,-0.010765304,0.597752,0.723122,0.910475
0.91,0.6435,1.253484,0.696,47.762,13.588,5.912,8.078822733,3.515013247,0.02195448,-0.025305489,-0.009035894,0.599707,0.72352,0.911093
0.92,0.650204,1.260188,0.671,47.762,14.225,5.912,8.078822733,3.357609842,0.019937495,-0.022512516,-0.007171356,0.600188,0.724019,0.912475
0.93,0.656907,1.266891,0.688,47.549,14.649,5.912,8.042794317,3.245887091,0.017864771,-0.019211936,-0.004926257,0.600294,0.723413,0.912102
0.94,0.66361,1.273594,0.681,47.335,15.286,5.912,8.006596752,3.096624362,0.015852477,-0.014470124,-0.003557414,0.600756,0.723021,0.913371
0.95,0.670313,1.280297,0.678,47.122,15.711,5.419,8.695700314,2.999299854,0.012439537,-0.011184568,-0.002292795,0.600532,0.722702,0.913636
0.96,0.677016,1.287,0.771,46.696,15.923,5.419,8.617088024,2.932613201,0.009719013,-0.00666325,-0.001675802,0.600313,0.723592,0.914991
0.97,0.683719,1.293703,1.046,46.696,16.773,5.419,8.617088024,2.783998092,0.00631914,-0.003224698,-0.001572613,0.600377,0.723764,0.915154
0.98,0.690422,1.300406,1.338,46.269,17.197,5.419,8.538291198,2.690527418,0.003517675,-0.001060947,-0.001435189,0.599947,0.722993,0.915425
0.99,0.697125,1.307109,0.724,46.269,18.259,5.419,8.538291198,2.534038009,0.001083529,0.001299661,-0.001399793,0.599052,0.722136,0.914551
1.00,0.703828,1.313812,-0.74,46.056,19.745,5.419,8.498985053,2.332539884,-0.000124469,0.001698482,-0.001050478,0.597572,0.722126,0.913533
